 Magnitude, Rrup (km)
5.5,18.08
5.6,19.56
5.6,28.73
5.62,9.76
5.65,17.71
5.69,9.12
5.74,19.7
5.8,53.77
5.8,6.99
5.9,26.4
5.9,26.77
5.9,15.41
5.9,19.37
5.91,18.13
5.91,18.13
6.19,9.58
6.19,12.9
6.19,17.64
6.19,9.87
6.33,39.3
6.36,28.52
6.36,27.67
6.36,33.07
6.36,39.12
6.36,41.1
6.36,43.64
6.36,36.4
6.36,30.35
6.36,34.45
6.36,40.92
6.5,56.88
6.5,33.4
6.53,0.34
6.53,2.66
6.53,24.6
6.53,50.1
6.53,31.92
6.53,10.42
6.53,7.31
6.53,0.07
6.53,7.05
6.53,3.95
6.53,0.56
6.53,5.09
6.54,18.48
6.54,0.95
6.61,61.79
6.61,46.78
6.61,28.99
6.61,25.47
6.69,5.92
6.8,5.46
6.9,24.85
6.9,28.08
6.9,76.9
6.9,48.14
6.9,8.44
6.9,58.54
6.9,55.47
6.9,5.18
6.9,43.17
6.9,36.73
6.9,8.18
6.9,10.84
6.93,24.57
6.93,32.78
6.93,11.07
6.93,12.82
6.93,8.5
7.01,25.91
7.01,8.18
7.13,84.87
7.13,42.06
7.13,62.91
7.14,25.88
7.2,19.47
7.2,10.92
7.2,17.32
7.2,42.61
7.2,32.85
7.2,41.48
7.2,30.63
7.2,27.91
7.2,36.52
7.2,28.3
7.28,26.96
7.28,34.86
7.28,23.62
7.35,28.79
7.51,53.43
7.62,64.15
7.62,56.93
7.62,47.52
7.62,51.15
7.62,58.05
7.62,52.98
7.62,26.31
7.62,9
7.62,9.34
7.9,54.78
